날짜	종가	오픈	고가	저가	거래량	변동 %
2012년 1월	2813.84	2657.39	2834.3	2627.23	8.79B	8.01%
2012년 2월	2966.89	2830.1	3000.11	2825.19	9.35B	5.44%
2012년 3월	3091.57	2979.11	3134.17	2900.28	9.68B	4.20%
2012년 4월	3046.36	3085.94	3128.25	2946.04	8.93B	-1.46%
2012년 5월	2827.34	3044.79	3085.4	2774.45	10.55B	-7.19%
2012년 6월	2935.05	2810.13	2942.28	2726.68	10.16B	3.81%
2012년 7월	2939.52	2938.41	2987.94	2837.72	8.86B	0.15%
2012년 8월	3066.96	2956.72	3100.54	2890.85	8.59B	4.34%
2012년 9월	3116.23	3063.25	3196.93	3040.24	8.06B	1.61%
2012년 10월	2977.23	3130.31	3171.46	2961.16	8.25B	-4.46%
2012년 11월	3010.24	2987.54	3033.85	2810.8	8.59B	1.11%
2012년 12월	3019.51	3029.21	3061.82	2951.04	7.73B	0.31%
2013년 1월	3142.13	3091.33	3164.06	3076.6	8.32B	4.06%
2013년 2월	3160.19	3162.94	3213.6	3105.36	8.07B	0.57%
2013년 3월	3267.52	3143.54	3270.3	3129.4	7.85B	3.40%
2013년 4월	3328.79	3268.63	3328.79	3154.96	9.23B	1.88%
2013년 5월	3455.91	3325.35	3532.04	3296.51	9.02B	3.82%
2013년 6월	3403.25	3460.76	3488.31	3294.95	9.56B	-1.52%
2013년 7월	3626.37	3430.48	3649.35	3415.23	8.37B	6.56%
2013년 8월	3589.87	3654.18	3694.19	3573.57	7.58B	-1.01%
2013년 9월	3771.48	3622.64	3798.76	3593.62	8.33B	5.06%
2013년 10월	3919.71	3774.18	3966.71	3650.03	10.31B	3.93%
2013년 11월	4059.89	3932.45	4069.7	3855.07	8.56B	3.58%
2013년 12월	4176.59	4065.66	4177.73	3979.59	9.26B	2.87%
2014년 1월	4103.88	4160.03	4246.55	4044.76	10.89B	-1.74%
2014년 2월	4308.12	4105.06	4342.59	3968.19	9.94B	4.98%
2014년 3월	4198.99	4261.42	4371.71	4131.81	11.62B	-2.53%
2014년 4월	4114.56	4219.87	4286.09	3946.03	11.05B	-2.01%
2014년 5월	4242.62	4121.25	4252.08	4021.05	9.83B	3.11%
2014년 6월	4408.18	4247.96	4417.46	4207.61	10.35B	3.90%
2014년 7월	4369.77	4424.71	4485.93	4351.04	9.70B	-0.87%
2014년 8월	4580.27	4363.39	4580.27	4321.89	8.18B	4.82%
2014년 9월	4493.39	4592.42	4610.57	4464.44	10.14B	-1.90%
2014년 10월	4630.74	4486.65	4641.51	4116.6	12.87B	3.06%
2014년 11월	4791.63	4633.71	4810.86	4594.91	8.48B	3.47%
2014년 12월	4736.05	4777.73	4814.95	4547.31	10.63B	-1.16%
2015년 1월	4635.24	4760.24	4777.01	4563.11	10.02B	-2.13%
2015년 2월	4963.53	4650.6	4989.25	4580.46	8.77B	7.08%
2015년 3월	4900.88	4973.43	5042.14	4825.93	10.39B	-1.26%
2015년 4월	4941.42	4894.36	5119.83	4844.39	8.96B	0.83%
2015년 5월	5070.02	4966.32	5111.54	4888.17	8.57B	2.60%
2015년 6월	4986.87	5094.94	5164.36	4956.23	10.53B	-1.64%
2015년 7월	5128.28	5029.05	5231.94	4901.51	9.46B	2.84%
2015년 8월	4776.51	5134.34	5175.26	4292.14	10.46B	-6.86%
2015년 9월	4620.16	4673.61	4960.87	4487.06	10.53B	-3.27%
2015년 10월	5053.75	4624.46	5095.69	4552.34	9.91B	9.38%
2015년 11월	5108.67	5065.64	5163.47	4908.66	8.40B	1.09%
2015년 12월	5007.41	5129.64	5176.77	4871.59	9.86B	-1.98%
2016년 1월	4613.95	4897.65	4926.73	4313.39	10.70B	-7.86%
2016년 2월	4557.95	4587.59	4636.93	4209.76	10.51B	-1.21%
2016년 3월	4869.85	4596.01	4899.14	4581.75	10.06B	6.84%
2016년 4월	4775.36	4842.55	4969.32	4740.84	8.82B	-1.94%
2016년 5월	4948.06	4786.55	4951.45	4678.38	9.21B	3.62%
2016년 6월	4842.67	4928.97	4980.14	4574.25	10.96B	-2.13%
2016년 7월	5162.13	4837.18	5175.81	4786.01	8.01B	6.60%
2016년 8월	5213.22	5167.42	5275.74	5109.8	8.79B	0.99%
2016년 9월	5312	5218.28	5342.88	5097.8	9.63B	1.89%
2016년 10월	5189.14	5300.29	5340.52	5169.76	7.97B	-2.31%
2016년 11월	5323.68	5199.77	5403.86	5034.41	9.91B	2.59%
2016년 12월	5383.12	5323.88	5512.37	5238.21	9.32B	1.12%
2017년 1월	5614.79	5425.62	5669.61	5397.99	8.38B	4.30%
2017년 2월	5825.44	5654.51	5867.89	5616.4	8.56B	3.75%
2017년 3월	5911.74	5874.86	5928.06	5769.39	11.00B	1.48%
2017년 4월	6047.61	5917.31	6074.04	5805.15	8.30B	2.30%
2017년 5월	6198.52	6067.56	6221.99	5996.81	10.24B	2.50%
2017년 6월	6140.42	6215.91	6341.7	6087.81	12.50B	-0.94%
2017년 7월	6348.12	6173.29	6460.84	6081.96	8.58B	3.38%
2017년 8월	6428.66	6372.16	6435.27	6177.19	9.58B	1.27%
2017년 9월	6495.96	6442.17	6497.98	6334.59	9.41B	1.05%
2017년 10월	6727.67	6506.08	6737.75	6484.14	9.64B	3.57%
2017년 11월	6873.97	6758.64	6914.19	6667.31	10.20B	2.17%
2017년 12월	6903.39	6844.04	7003.89	6734.13	10.00B	0.43%
2018년 1월	7411.48	6937.65	7505.77	6924.08	10.40B	7.36%
2018년 2월	7273.01	7377.17	7441.09	6630.67	10.81B	-1.87%
2018년 3월	7063.44	7274.75	7637.27	6901.07	12.33B	-2.88%
2018년 4월	7066.27	7016.17	7319.58	6805.96	10.16B	0.04%
2018년 5월	7442.12	7053.65	7492.42	6991.14	10.64B	5.32%
2018년 6월	7510.3	7487.66	7806.6	7419.56	12.84B	0.92%
2018년 7월	7671.79	7451.9	7933.31	7443.1	9.42B	2.15%
2018년 8월	8109.54	7701.82	8133.3	7659.52	10.70B	5.71%
2018년 9월	8046.35	8087.95	8104.07	7873.93	11.15B	-0.78%
2018년 10월	7305.9	8091.5	8107.38	6922.83	14.83B	-9.20%
2018년 11월	7330.54	7327.82	7572.93	6830.76	12.57B	0.34%
2018년 12월	6635.28	7486.13	7486.51	6190.17	13.12B	-9.48%
2019년 1월	7281.74	6506.91	7303.12	6457.13	12.23B	9.74%
2019년 2월	7532.53	7256.37	7602.69	7225.14	10.64B	3.44%
2019년 3월	7729.32	7587.45	7850.1	7332.92	13.04B	2.61%
2019년 4월	8095.39	7800.24	8176.08	7777.1	10.75B	4.74%
2019년 5월	7453.15	8132.93	8164.71	7448.23	12.28B	-7.93%
2019년 6월	8006.24	7441.22	8088.88	7292.22	12.57B	7.42%
2019년 7월	8175.42	8145.85	8339.64	8059.29	11.14B	2.11%
2019년 8월	7962.88	8190.56	8311.04	7662.9	11.99B	-2.60%
2019년 9월	7999.33	7906.44	8243.8	7847.32	11.51B	0.46%
2019년 10월	8292.36	8026.83	8335.56	7700	11.23B	3.66%
2019년 11월	8665.47	8335.05	8705.91	8326.56	10.75B	4.50%
2019년 12월	8972.6	8672.84	9052	8435.4	12.25B	3.54%
2020년 1월	9150.94	9039.46	9451.43	8943.5	12.89B	1.99%
2020년 2월	8567.37	9190.72	9838.37	8264.16	13.39B	-6.38%
2020년 3월	7700.1	8667.14	9070.32	6631.42	25.11B	-10.12%
2020년 4월	8889.55	7459.5	8957.26	7288.11	18.76B	15.45%
2020년 5월	9489.87	8681.29	9523.64	8537.83	18.17B	6.75%
2020년 6월	10058.76	9471.42	10221.85	9403	27.30B	5.99%
2020년 7월	10745.27	10063.67	10839.93	10048.04	20.68B	6.82%
2020년 8월	11775.46	10848.64	11829.84	10762.71	17.24B	9.59%
2020년 9월	11167.51	11850.96	12074.07	10519.49	20.52B	-5.16%
2020년 10월	10911.59	11291.99	11965.54	10822.57	16.77B	-2.29%
2020년 11월	12198.74	11010.45	12244.65	10830.94	19.47B	11.80%
2020년 12월	12888.28	12313.36	12973.33	12214.74	23.50B	5.65%
2021년 1월	13070.7	12958.52	13728.98	12543.24	26.55B	1.42%
2021년 2월	13192.34	13226.18	14175.12	13003.98	27.40B	0.93%
2021년 3월	13246.87	13406.16	13620.71	12397.05	29.12B	0.41%
2021년 4월	13962.7	13414.3	14211.6	13404.2	18.51B	5.40%
2021년 5월	13748.7	14031.8	14042.1	13002.5	18.49B	-1.53%
2021년 6월	14504	13829.1	14536	13548.9	24.05B	5.49%
2021년 7월	14672.68	14493.69	14863.65	14178.66	17.46B	1.16%
2021년 8월	15259.24	14758.6	15288.08	14423.16	17.68B	4.00%
2021년 9월	14448.58	15308.97	15403.44	14444.3	20.39B	-5.31%
2021년 10월	15498.39	14494.93	15504.12	14181.69	18.71B	7.27%
2021년 11월	15537.69	15541.26	16212.23	15451.38	21.65B	0.25%
2021년 12월	15644.97	15752.27	15901.47	14860.04	22.79B	0.69%
2022년 1월	14239.88	15732.5	15852.14	13094.65	20.65B	-8.98%
2022년 2월	13751.4	14277.43	14509.43	12587.88	1.39B	-3.43%
2022년 3월	14220.52	13717.31	14646.77	12555.37	1.10B	3.41%
2022년 4월	12334.64	14269.53	14534.23	12315.74	1.09B	-13.26%
2022년 5월	12964.86	12331.69	12973.09	12202.93	-	5.11%
